route_id,service_id,trip_id,trip_headsign,block_id,block_short_name
2,2026-08-24:2:2,2026-08-24:941218,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941219,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941220,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941221,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941222,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941223,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941224,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941225,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941226,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941227,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941228,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941229,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941230,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941231,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941232,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941233,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941234,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941235,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941236,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941237,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941238,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941239,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941240,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941241,Bielawy - Peron 1,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941242,Kapuściska,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941243,Toruńska - Kazimierza Wielkiego,2026-08-24:47853,01
2,2026-08-24:2:2,2026-08-24:941244,Kapuściska,2026-08-24:47854,02
2,2026-08-24:2:2,2026-08-24:941245,Bielawy - Peron 1,2026-08-24:47854,02
2,2026-08-24:2:2,2026-08-24:941246,Kapuściska,2026-08-24:47854,02
2,2026-08-24:2:2,2026-08-24:941247,Bielawy - Peron 1,2026-08-24:47854,02
2,2026-08-24:2:2,2026-08-24:941248,Kapuściska,2026-08-24:47854,02
2,2026-08-24:2:2,2026-08-24:941249,Bielawy - Peron 1,2026-08-24:47854,02
2,2026-08-24:2:2,2026-08-24:941250,Kapuściska,2026-08-24:47854,02
